PassengerId,Survived,Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Family
1,0,3,Mr,male,22,7.25,M,S,2
2,1,1,Mrs,female,38,71.2833,C,C,2
3,1,3,Miss,female,26,7.925,M,S,1
4,1,1,Mrs,female,35,53.1,C,S,2
5,0,3,Mr,male,35,8.05,M,S,1
6,0,3,Mr,male,26,8.4583,M,Q,1
7,0,1,Mr,male,54,51.8625,E,S,1
8,0,3,Master,male,2,21.075,M,S,5
9,1,3,Mrs,female,27,11.1333,M,S,3
10,1,2,Mrs,female,14,30.0708,M,C,2
11,1,3,Miss,female,4,16.7,G,S,3
12,1,1,Miss,female,58,26.55,C,S,1
13,0,3,Mr,male,20,8.05,M,S,1
14,0,3,Mr,male,39,31.275,M,S,7
15,0,3,Miss,female,14,7.8542,M,S,1
16,1,2,Mrs,female,55,16.0,M,S,1
17,0,3,Master,male,2,29.125,M,Q,6
18,1,2,Mr,male,30,13.0,M,S,1
19,0,3,Mrs,female,31,18.0,M,S,2
20,1,3,Mrs,female,21,7.225,M,C,1
21,0,2,Mr,male,35,26.0,M,S,1
22,1,2,Mr,male,34,13.0,D,S,1
23,1,3,Miss,female,15,8.0292,M,Q,1
24,1,1,Mr,male,28,35.5,A,S,1
25,0,3,Miss,female,8,21.075,M,S,5
26,1,3,Mrs,female,38,31.3875,M,S,7
27,0,3,Mr,male,26,7.225,M,C,1
28,0,1,Mr,male,19,263.0,C,S,6
29,1,3,Miss,female,21,7.8792,M,Q,1
30,0,3,Mr,male,26,7.8958,M,S,1
31,0,1,Mr,male,40,27.7208,M,C,1
32,1,1,Mrs,female,34,146.5208,B,C,2
33,1,3,Miss,female,21,7.75,M,Q,1
34,0,2,Mr,male,66,10.5,M,S,1
35,0,1,Mr,male,28,82.1708,M,C,2
36,0,1,Mr,male,42,52.0,M,S,2
37,1,3,Mr,male,26,7.2292,M,C,1
38,0,3,Mr,male,21,8.05,M,S,1
39,0,3,Miss,female,18,18.0,M,S,3
40,1,3,Miss,female,14,11.2417,M,C,2
41,0,3,Mrs,female,40,9.475,M,S,2
42,0,2,Mrs,female,27,21.0,M,S,2
43,0,3,Mr,male,26,7.8958,M,C,1
44,1,2,Miss,female,3,41.5792,M,C,4
45,1,3,Miss,female,19,7.8792,M,Q,1
46,0,3,Mr,male,26,8.05,M,S,1
47,0,3,Mr,male,26,15.5,M,Q,2
48,1,3,Miss,female,21,7.75,M,Q,1
49,0,3,Mr,male,26,21.6792,M,C,3
50,0,3,Mrs,female,18,17.8,M,S,2
51,0,3,Master,male,7,39.6875,M,S,6
52,0,3,Mr,male,21,7.8,M,S,1
53,1,1,Mrs,female,49,76.7292,D,C,2
54,1,2,Mrs,female,29,26.0,M,S,2
55,0,1,Mr,male,65,61.9792,B,C,2
56,1,1,Mr,male,41,35.5,C,S,1
57,1,2,Miss,female,21,10.5,M,S,1
58,0,3,Mr,male,28,7.2292,M,C,1
59,1,2,Miss,female,5,27.75,M,S,4
60,0,3,Master,male,11,46.9,M,S,8
61,0,3,Mr,male,22,7.2292,M,C,1
62,1,1,Miss,female,38,80.0,B,S,1
63,0,1,Mr,male,45,83.475,C,S,2
64,0,3,Master,male,4,27.9,M,S,6
65,0,1,Mr,male,41,27.7208,M,C,1
66,1,3,Master,male,26,15.2458,M,C,3
67,1,2,Mrs,female,29,10.5,F,S,1
68,0,3,Mr,male,19,8.1583,M,S,1
69,1,3,Miss,female,17,7.925,M,S,7
70,0,3,Mr,male,26,8.6625,M,S,3
71,0,2,Mr,male,32,10.5,M,S,1
72,0,3,Miss,female,16,46.9,M,S,8
73,0,2,Mr,male,21,73.5,M,S,1
74,0,3,Mr,male,26,14.4542,M,C,2
75,1,3,Mr,male,32,56.4958,M,S,1
76,0,3,Mr,male,25,7.65,F,S,1
77,0,3,Mr,male,26,7.8958,M,S,1
78,0,3,Mr,male,26,8.05,M,S,1
79,1,2,Master,male,0,29.0,M,S,3
80,1,3,Miss,female,30,12.475,M,S,1
81,0,3,Mr,male,22,9.0,M,S,1
82,1,3,Mr,male,29,9.5,M,S,1
83,1,3,Miss,female,21,7.7875,M,Q,1
84,0,1,Mr,male,28,47.1,M,S,1
85,1,2,Miss,female,17,10.5,M,S,1
86,1,3,Mrs,female,33,15.85,M,S,4
87,0,3,Mr,male,16,34.375,M,S,5
